Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ATXN2","Ataxin 2","Protein Coding","41","GC12M111443","2.45020198822021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN2"
"FCGR2C","Fc Gamma Receptor IIc (Gene/Pseudogene)","Protein Coding","35","GC01P161718","2.45020198822021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2C"
"MITF","Melanocyte Inducing Transcription Factor","Protein Coding","46","GC03P069788","2.44334602355957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MITF"
"TSPO","Translocator Protein","Protein Coding","43","GC22P043151","2.44334602355957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPO"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","46","GC06P083850","2.44045090675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","42","GC19P066535","2.44045090675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"RARRES2","Retinoic Acid Receptor Responder 2","Protein Coding","38","GC07M150333","2.44045090675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2"
"IFNL1","Interferon Lambda 1","Protein Coding","33","GC19P039296","2.44045090675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","24","GC11P069943","2.44045090675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"MAPK10","Mitogen-Activated Protein Kinase 10","Protein Coding","48","GC04M085990","2.43918609619141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10"
"SERPINA3","Serpin Family A Member 3","Protein Coding","42","GC14P094612","2.43240690231323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"MAP2K4","Mitogen-Activated Protein Kinase Kinase 4","Protein Coding","45","GC17P012020","2.4140682220459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K4"
"TAPBP","TAP Binding Protein","Protein Coding","44","GC06M033299","2.40673184394836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAPBP"
"PLA2G4A","Phospholipase A2 Group IVA","Protein Coding","47","GC01P186798","2.40499901771545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4A"
"CYP21A1P","Cytochrome P450 Family 21 Subfamily A Member 1, Pseudogene","Pseudogene","16","GC06P032005","2.40320944786072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP21A1P"
"HLA-DRB9","Major Histocompatibility Complex, Class II, DR Beta 9 (Pseudogene)","Pseudogene","13","GC06M066001","2.40320944786072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB9"
"MAP2K6","Mitogen-Activated Protein Kinase Kinase 6","Protein Coding","44","GC17P069414","2.3976788520813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K6"
"CASP7","Caspase 7","Protein Coding","47","GC10P113679","2.39571952819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","49","GC12P055966","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"PFKL","Phosphofructokinase, Liver Type","Protein Coding","44","GC21P044300","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKL"
"IFNGR2","Interferon Gamma Receptor 2","Protein Coding","42","GC21P033402","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR2"
"ARHGEF3","Rho Guanine Nucleotide Exchange Factor 3","Protein Coding","40","GC03M056736","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF3"
"CD101","CD101 Molecule","Protein Coding","38","GC01P117001","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD101"
"DUSP22","Dual Specificity Phosphatase 22","Protein Coding","38","GC06P000302","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP22"
"TAX1BP1","Tax1 Binding Protein 1","Protein Coding","38","GC07P027739","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP1"
"FCRL4","Fc Receptor Like 4","Protein Coding","37","GC01M157543","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL4"
"JAZF1","JAZF Zinc Finger 1","Protein Coding","37","GC07M027830","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAZF1"
"PHACTR3","Phosphatase And Actin Regulator 3","Protein Coding","36","GC20P059577","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHACTR3"
"TRHDE","Thyrotropin Releasing Hormone Degrading Enzyme","Protein Coding","36","GC12P072087","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRHDE"
"FNDC1","Fibronectin Type III Domain Containing 1","Protein Coding","34","GC06P160538","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC1"
"C5-OT1","C5 3' UTR Overlapping Transcript 1","RNA Gene","8","GC09M120944","2.39376258850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5-OT1"
"ENG","Endoglin","Protein Coding","46","GC09M127815","2.38788032531738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"IL20RB","Interleukin 20 Receptor Subunit Beta","Protein Coding","36","GC03P136946","2.37093353271484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL20RB"
"MAP3K7","Mitogen-Activated Protein Kinase Kinase Kinase 7","Protein Coding","48","GC06M090513","2.37027096748352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K7"
"TAB1","TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 1","Protein Coding","40","GC22P039429","2.36426138877869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAB1"
"A2M","Alpha-2-Macroglobulin","Protein Coding","43","GC12M009067","2.3604724407196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"RAC1","Rac Family Small GTPase 1","Protein Coding","47","GC07P006377","2.35029244422913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","49","GC13M028300","2.34117102622986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"CXCR2","C-X-C Motif Chemokine Receptor 2","Protein Coding","48","GC02P218125","2.33378744125366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR2"
"YWHAH","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Eta","Protein Coding","45","GC22P031944","2.33165645599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAH"
"TRAF2","TNF Receptor Associated Factor 2","Protein Coding","42","GC09P136881","2.33165645599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF2"
"LGALS1","Galectin 1","Protein Coding","41","GC22P037675","2.33165645599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1"
"TNFRSF12A","TNF Receptor Superfamily Member 12A","Protein Coding","41","GC16P003018","2.33165645599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF12A"
"TXNDC5","Thioredoxin Domain Containing 5","Protein Coding","37","GC06M007893","2.33165645599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC5"
"CYP1A2","Cytochrome P450 Family 1 Subfamily A Member 2","Protein Coding","45","GC15P074748","2.32578277587891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2"
"PERP","P53 Apoptosis Effector Related To PMP22","Protein Coding","40","GC06M138088","2.32020950317383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PERP"
"CD200R1","CD200 Receptor 1","Protein Coding","38","GC03M112921","2.32020950317383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD200R1"
"BAG6","BAG Cochaperone 6","Protein Coding","36","GC06M031639","2.32020950317383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG6"
"GIN1","Gypsy Retrotransposon Integrase 1","Protein Coding","32","GC05M103086","2.32020950317383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIN1"
"BACH2","BTB Domain And CNC Homolog 2","Protein Coding","42","GC06M089926","2.31668090820313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACH2"
"TAB2","TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 2","Protein Coding","46","GC06P149218","2.31177520751953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAB2"
"RPLP1","Ribosomal Protein Lateral Stalk Subunit P1","Protein Coding","38","GC15P117548","2.31165075302124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP1"
"ZPBP2","Zona Pellucida Binding Protein 2","Protein Coding","34","GC17P055526","2.31165075302124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZPBP2"
"HDAC1","Histone Deacetylase 1","Protein Coding","47","GC01P032292","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"HPRT1","Hypoxanthine Phosphoribosyltransferase 1","Protein Coding","45","GC0XP134460","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPRT1"
"RORC","RAR Related Orphan Receptor C","Protein Coding","43","GC01M151806","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORC"
"AHSG","Alpha 2-HS Glycoprotein","Protein Coding","42","GC03P186629","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSG"
"ELAVL1","ELAV Like RNA Binding Protein 1","Protein Coding","40","GC19M007958","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1"
"BANK1","B Cell Scaffold Protein With Ankyrin Repeats 1","Protein Coding","37","GC04P101411","2.30118942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANK1"
"ASPN","Asporin","Protein Coding","41","GC09M094207","2.29675602912903","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPN"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","51","GC12P057264","2.27921223640442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"FLI1","Fli-1 Proto-Oncogene, ETS Transcription Factor","Protein Coding","46","GC11P128686","2.27921223640442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLI1"
"BATF","Basic Leucine Zipper ATF-Like Transcription Factor","Protein Coding","40","GC14P075523","2.27921223640442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BATF"
"JDP2","Jun Dimerization Protein 2","Protein Coding","39","GC14P075427","2.27921223640442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JDP2"
"PHTF1","Putative Homeodomain Transcription Factor 1","Protein Coding","34","GC01M113696","2.27921223640442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHTF1"
"IRAK4","Interleukin 1 Receptor Associated Kinase 4","Protein Coding","45","GC12P043758","2.2785496711731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK4"
"MMP15","Matrix Metallopeptidase 15","Protein Coding","44","GC16P058025","2.27842712402344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP15"
"MIR16-1","MicroRNA 16-1","RNA Gene","21","GC13M050048","2.27343606948853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR16-1"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","50","GC07M140737","2.26875114440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"ADM","Adrenomedullin","Protein Coding","43","GC11P010304","2.26875114440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"CCL3L1","C-C Motif Chemokine Ligand 3 Like 1","Protein Coding","28","GC17Mj00250","2.26875114440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L1"
"KIR2DL2","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 2","Protein Coding","25","GC19Mr00108","2.26875114440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL2"
"AOX1","Aldehyde Oxidase 1","Protein Coding","44","GC02P200585","2.2539701461792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOX1"
"ARAP1","ArfGAP With RhoGAP Domain, Ankyrin Repeat And PH Domain 1","Protein Coding","40","GC11M090324","2.24436140060425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARAP1"
"RNF182","Ring Finger Protein 182","Protein Coding","36","GC06P013924","2.24436140060425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF182"
"GABARAPL3","GABA Type A Receptor Associated Protein Like 3 Pseudogene","Pseudogene","20","GC15M090346","2.24436140060425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL3"
"DNMT1","DNA Methyltransferase 1","Protein Coding","49","GC19M010133","2.24052906036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"TACR3","Tachykinin Receptor 3","Protein Coding","48","GC04M103586","2.24052906036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR3"
"TRPV1","Transient Receptor Potential Cation Channel Subfamily V Member 1","Protein Coding","45","GC17M003565","2.24052906036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1"
"SEMA3A","Semaphorin 3A","Protein Coding","44","GC07M083955","2.24052906036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3A"
"FCAR","Fc Alpha Receptor","Protein Coding","41","GC19P067387","2.24052906036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCAR"
"HDAC4","Histone Deacetylase 4","Protein Coding","49","GC02M239048","2.23390054702759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC4"
"RFC1","Replication Factor C Subunit 1","Protein Coding","46","GC04M039291","2.23390054702759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFC1"
"TLR5","Toll Like Receptor 5","Protein Coding","45","GC01M223109","2.23390054702759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR5"
"CD209","CD209 Molecule","Protein Coding","42","GC19M007739","2.23390054702759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"RAB27A","RAB27A, Member RAS Oncogene Family","Protein Coding","47","GC15M055202","2.22420072555542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB27A"
"ADAM15","ADAM Metallopeptidase Domain 15","Protein Coding","42","GC01P155050","2.22414970397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM15"
"CCL8","C-C Motif Chemokine Ligand 8","Protein Coding","37","GC17P034319","2.22414970397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL8"
"FLNB","Filamin B","Protein Coding","46","GC03P058008","2.20646357536316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNB"
"PRKDC","Protein Kinase, DNA-Activated, Catalytic Subunit","Protein Coding","48","GC08M047773","2.20638942718506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","46","GC14M053949","2.20638942718506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"IFNA2","Interferon Alpha 2","Protein Coding","41","GC09M021384","2.20638942718506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"KCNIP4","Potassium Voltage-Gated Channel Interacting Protein 4","Protein Coding","38","GC04M020728","2.20174551010132","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNIP4"
"BTK","Bruton Tyrosine Kinase","Protein Coding","50","GC0XM101349","2.19960761070251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"GAST","Gastrin","Protein Coding","38","GC17P041712","2.19960761070251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST"
"CFB","Complement Factor B","Protein Coding","45","GC06P031945","2.1986095905304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFB"
"XBP1","X-Box Binding Protein 1","Protein Coding","44","GC22M028794","2.1986095905304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XBP1"
"EBI3","Epstein-Barr Virus Induced 3","Protein Coding","37","GC19P004233","2.1986095905304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBI3"
"CSN1S1","Casein Alpha S1","Protein Coding","36","GC04P069932","2.1986095905304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN1S1"
"ANGPTL4","Angiopoietin Like 4","Protein Coding","43","GC19P008363","2.19796180725098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL4"
"YY1","YY1 Transcription Factor","Protein Coding","46","GC14P100238","2.19600248336792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1"
"APOB","Apolipoprotein B","Protein Coding","45","GC02M020956","2.19600248336792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"GDF5","Growth Differentiation Factor 5","Protein Coding","45","GC20M035433","2.19600248336792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF5"
"LPA","Lipoprotein(A)","Protein Coding","40","GC06M160531","2.19600248336792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA"
"MIR126","MicroRNA 126","RNA Gene","22","GC09P136670","2.19600248336792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"ADGRE5","Adhesion G Protein-Coupled Receptor E5","Protein Coding","38","GC19P014392","2.19250154495239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRE5"
"CASTOR1","Cytosolic Arginine Sensor For MTORC1 Subunit 1","Protein Coding","23","GC22M057166","2.18668818473816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASTOR1"
"AQP5","Aquaporin 5","Protein Coding","45","GC12P049961","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP5"
"SIL1","SIL1 Nucleotide Exchange Factor","Protein Coding","40","GC05M138957","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIL1"
"SSNA1","SS Nuclear Autoantigen 1","Protein Coding","35","GC09P137188","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSNA1"
"ZNRD2","Zinc Ribbon Domain Containing 2","Protein Coding","28","GC11P069991","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNRD2"
"LINC00426","Long Intergenic Non-Protein Coding RNA 426","RNA Gene","16","GC13M030377","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00426"
"CXCR2P1","C-X-C Motif Chemokine Receptor 2 Pseudogene 1","Pseudogene","14","GC02M218059","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR2P1"
"LINC02384","Long Intergenic Non-Protein Coding RNA 2384","RNA Gene","13","GC12M068334","2.17250776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02384"
"IFNGR1","Interferon Gamma Receptor 1","Protein Coding","48","GC06M137197","2.17055368423462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR1"
"TXN","Thioredoxin","Protein Coding","44","GC09M110243","2.17055368423462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN"
"TIMP3","TIMP Metallopeptidase Inhibitor 3","Protein Coding","43","GC22P036985","2.16747403144836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP3"
"HNRNPC","Heterogeneous Nuclear Ribonucleoprotein C","Protein Coding","40","GC14M022503","2.15768814086914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPC"
"SCGB1A1","Secretoglobin Family 1A Member 1","Protein Coding","39","GC11P062405","2.15102910995483","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1"
"IGHE","Immunoglobulin Heavy Constant Epsilon","Protein Coding","30","GC14M112707","2.15102910995483","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE"
"C5AR1","Complement C5a Receptor 1","Protein Coding","42","GC19P047290","2.14682960510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5AR1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","48","GC02M177227","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","46","GC11M003294","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"THBS1","Thrombospondin 1","Protein Coding","44","GC15P039581","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1"
"KLRD1","Killer Cell Lectin Like Receptor D1","Protein Coding","41","GC12P010226","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRD1"
"ICA1","Islet Cell Autoantigen 1","Protein Coding","40","GC07M008206","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICA1"
"IGHM","Immunoglobulin Heavy Constant Mu","Protein Coding","36","GC14M112722","2.14173746109009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHM"
"GMCL2","Germ Cell-Less 2, Spermatogenesis Associated","Protein Coding","19","GC05M178189","2.12819242477417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMCL2"
"MAP2K3","Mitogen-Activated Protein Kinase Kinase 3","Protein Coding","46","GC17P054789","2.12588715553284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K3"
"MST1","Macrophage Stimulating 1","Protein Coding","45","GC03M049683","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1"
"FADS2","Fatty Acid Desaturase 2","Protein Coding","43","GC11P061792","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS2"
"POU2F1","POU Class 2 Homeobox 1","Protein Coding","42","GC01P167190","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F1"
"INPP5B","Inositol Polyphosphate-5-Phosphatase B","Protein Coding","41","GC01M037860","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5B"
"OS9","OS9 Endoplasmic Reticulum Lectin","Protein Coding","40","GC12P057693","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OS9"
"TNFSF18","TNF Superfamily Member 18","Protein Coding","37","GC01M173009","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF18"
"KRT18P39","Keratin 18 Pseudogene 39","Pseudogene","9","GC02M203765","2.11696362495422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18P39"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","47","GC07P016916","2.11127090454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"SERPINC1","Serpin Family C Member 1","Protein Coding","47","GC01M174559","2.11127090454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1"
"CTSL","Cathepsin L","Protein Coding","45","GC09P087725","2.11127090454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL"
"ATF2","Activating Transcription Factor 2","Protein Coding","44","GC02M175072","2.11127090454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF2"
"IL1F10","Interleukin 1 Family Member 10","Protein Coding","37","GC02P113067","2.11127090454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1F10"
"CASP1","Caspase 1","Protein Coding","48","GC11M105025","2.10374307632446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"LALBA","Lactalbumin Alpha","Protein Coding","38","GC12M048567","2.0945897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LALBA"
"VPREB1","V-Set Pre-B Cell Surrogate Light Chain 1","Protein Coding","38","GC22P022244","2.0945897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPREB1"
"CCL1","C-C Motif Chemokine Ligand 1","Protein Coding","36","GC17M035584","2.0945897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL1"
"IL31","Interleukin 31","Protein Coding","34","GC12M122295","2.0945897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL31"
"XIST","X Inactive Specific Transcript","RNA Gene","25","GC0XM073820","2.0945897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"EGR1","Early Growth Response 1","Protein Coding","42","GC05P138465","2.08118844032288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1"
"LRP5","LDL Receptor Related Protein 5","Protein Coding","47","GC11P068298","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5"
"GUSB","Glucuronidase Beta","Protein Coding","46","GC07M065960","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"TLR8","Toll Like Receptor 8","Protein Coding","46","GC0XP012924","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"CSK","C-Terminal Src Kinase","Protein Coding","45","GC15P074782","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSK"
"PTHLH","Parathyroid Hormone Like Hormone","Protein Coding","45","GC12M027959","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTHLH"
"SEMA4D","Semaphorin 4D","Protein Coding","45","GC09M089360","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4D"
"CD59","CD59 Molecule (CD59 Blood Group)","Protein Coding","44","GC11M033704","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59"
"KLRC1","Killer Cell Lectin Like Receptor C1","Protein Coding","41","GC12M021112","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC1"
"ELP1","Elongator Acetyltransferase Complex Subunit 1","Protein Coding","34","GC09M108868","2.07883238792419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELP1"
"ATP1A1","ATPase Na+/K+ Transporting Subunit Alpha 1","Protein Coding","48","GC01P116372","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1"
"CYLD","CYLD Lysine 63 Deubiquitinase","Protein Coding","47","GC16P050742","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLD"
"GATA4","GATA Binding Protein 4","Protein Coding","46","GC08P011676","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4"
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","46","GC06P044246","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"BAD","BCL2 Associated Agonist Of Cell Death","Protein Coding","43","GC11M089708","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD"
"C1QBP","Complement C1q Binding Protein","Protein Coding","43","GC17M005432","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP"
"EOMES","Eomesodermin","Protein Coding","42","GC03M027715","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EOMES"
"IL10RB","Interleukin 10 Receptor Subunit Beta","Protein Coding","42","GC21P033266","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB"
"ATG16L1","Autophagy Related 16 Like 1","Protein Coding","41","GC02P233253","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1"
"GPX3","Glutathione Peroxidase 3","Protein Coding","41","GC05P150997","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX3"
"MED1","Mediator Complex Subunit 1","Protein Coding","40","GC17M039404","2.06052422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1"
